Complexity metrics,¿ù, 8 6¿ù 2015 06:43:20 KST
Method,BRANCH,eV(g),iV(g),V'(g),V(g)
"safehome.CameraTest.CameraTest(int)",0,1,1,1,1
"safehome.CameraTest.actionPerformed(ActionEvent)",0,1,5,5,5
"safehome.CameraView.CameraView()",0,1,1,1,1
"safehome.CameraView.CameraView(CameraView)",0,1,1,1,1
"safehome.CameraView.CameraView(int)",0,1,1,1,1
"safehome.CameraView.paint(Graphics)",0,1,1,1,1
"safehome.CameraView.run()",0,1,2,2,2
"safehome.ControlPanel.Arm()",0,2,2,2,2
"safehome.ControlPanel.ControlPanel()",0,1,1,1,1
"safehome.ControlPanel.Disarm()",0,2,1,2,2
"safehome.ControlPanel.PowerOff()",0,1,1,1,1
"safehome.ControlPanel.PowerOn()",0,2,1,2,2
"safehome.ControlPanel.Reset()",0,1,1,1,1
"safehome.ControlPanel.button0()",0,2,9,10,10
"safehome.ControlPanel.button1()",0,1,10,10,10
"safehome.ControlPanel.button2()",0,3,9,11,11
"safehome.ControlPanel.button3()",0,2,9,10,10
"safehome.ControlPanel.button4()",0,2,9,10,10
"safehome.ControlPanel.button5()",0,2,9,10,10
"safehome.ControlPanel.button6()",0,2,9,10,10
"safehome.ControlPanel.button7()",0,2,9,10,10
"safehome.ControlPanel.button8()",0,2,9,10,10
"safehome.ControlPanel.button9()",0,2,9,10,10
"safehome.ControlPanel.buttonSharp()",0,1,1,1,1
"safehome.ControlPanel.buttonStar()",0,1,1,1,1
"safehome.LoginInterface.LoginInterface()",0,1,1,1,1
"safehome.LoginInterface.actionPerformed(ActionEvent)",0,1,3,3,3
"safehome.LoginInterface.requireLogin(User,JFrame)",0,2,1,2,2
"safehome.MainDemo.MainDemo()",0,2,2,2,2
"safehome.MainDemo.actionPerformed(ActionEvent)",0,1,4,4,4
"safehome.MainDemo.main(String[])",0,1,1,1,1
"safehome.SafehomeConsole.SafehomeConsole(SensorTest)",0,1,1,2,2
"safehome.SafehomeConsole.armMotionDetector(int)",0,2,1,2,2
"safehome.SafehomeConsole.armSystem()",0,6,5,9,7
"safehome.SafehomeConsole.armWindoorSensor(int)",0,2,1,2,2
"safehome.SafehomeConsole.checkState()",0,1,2,2,2
"safehome.SafehomeConsole.disarmMotionDetector(int)",0,2,1,2,2
"safehome.SafehomeConsole.disarmSystem()",0,2,1,2,2
"safehome.SafehomeConsole.disarmWindoorSensor(int)",0,2,1,2,2
"safehome.SafehomeConsole.manualPanic()",0,2,2,3,3
"safehome.SafehomeConsole.panic()",0,1,1,1,1
"safehome.SafehomeConsole.resolvePanic()",0,1,4,4,4
"safehome.SafehomeConsole.run()",1,3,6,9,7
"safehome.SensorTest.SensorTest()",0,1,4,4,4
"safehome.SensorTest.actionPerformed(ActionEvent)",0,1,6,6,6
"safehome.SensorTest.armMotionDetector(int)",0,2,1,2,2
"safehome.SensorTest.armWindoorSensor(int)",0,2,1,2,2
"safehome.SensorTest.disarmMotionDetector(int)",0,2,1,2,2
"safehome.SensorTest.disarmWindoorSensor(int)",0,2,1,2,2
"safehome.SensorTest.readMotionDetector(int)",0,2,1,2,2
"safehome.SensorTest.readWindoorSensor(int)",0,2,1,2,2
"safehome.SensorTest.refresh()",0,1,6,6,6
"safehome.User.changeControlPanelPassword(String,String)",0,5,2,6,5
"safehome.User.changeInterfacePassword(String,String)",0,2,1,3,2
"safehome.User.loginControlPanel(String)",0,2,1,2,2
"safehome.User.loginInterface(String,String)",0,2,1,3,2
"safehome.UserInterface.UserInterface()",0,1,2,2,2
"safehome.UserInterface.actionPerformed(ActionEvent)",1,4,22,22,22

Class,OCavg,WMC
"safehome.CameraTest",3.00,6
"safehome.CameraView",1.20,6
"safehome.ControlPanel",6.22,112
"safehome.ControlPanel.STATUS",n/a,0
"safehome.LoginInterface",2.00,6
"safehome.MainDemo",1.75,7
"safehome.SafehomeConsole",3.00,36
"safehome.SensorTest",3.11,28
"safehome.User",2.75,11
"safehome.UserInterface",12.00,24

Project,C,CCavg,CCtot,LOC,METH
"project",11,4.05,235,2203,58

